,symbol,time,close,volume,error
117,OOOTO,1673015398011151616,70.38083333333333,0,N
118,OOOTO,1673015399011151616,70.66,2,N
119,OOOTO,1673015400011151616,70.41333333333334,3,N
120,OOOTO,1673015401011151616,70.69999999999999,10,N
121,OOOTO,1673015402011151616,70.68923076923078,13,N
122,OOOTO,1673015403011151616,70.47125,8,N
123,OOOTO,1673015404011151616,70.84833333333331,12,N
124,OOOTO,1673015405011151616,71.05923076923075,13,N
125,OOOTO,1673015406011151616,70.4511111111111,9,N
126,OOOTO,1673015407011151616,70.52454545454545,11,N
127,OOOTO,1673015408011151616,70.475,4,N
128,OOOTO,1673015409011151616,70.47636363636364,11,N
129,OOOTO,1673015410011151616,71.00666666666666,3,N
130,OOOTO,1673015411011151616,71.00999999999999,4,N
131,OOOTO,1673015412011151616,71.00999999999999,0,N
132,OOOTO,1673015413011151616,71.00999999999999,0,N
133,OOOTO,1673015414011151616,70.98666666666668,3,N
134,OOOTO,1673015415011151616,70.46,1,N
135,OOOTO,1673015416011151616,70.46,0,N
136,OOOTO,1673015417011151616,70.475,8,N
137,OOOTO,1673015418011151616,70.475,10,N
138,OOOTO,1673015419011151616,70.96,3,N
139,OOOTO,1673015420011151616,70.96,0,N
140,OOOTO,1673015421011151616,70.98,1,N
141,OOOTO,1673015422011151616,70.95,1,N
142,OOOTO,1673015423011151616,70.95,0,N
143,OOOTO,1673015424011151616,70.94,4,N
144,OOOTO,1673015425011151616,70.94,0,N
145,OOOTO,1673015426011151616,70.94,0,N
146,OOOTO,1673015427011151616,70.94,0,N
147,OOOTO,1673015428011151616,70.94000000000001,10,N
148,OOOTO,1673015429011151616,70.93,1,N
149,OOOTO,1673015430011151616,70.93,0,N
150,OOOTO,1673015431011151616,70.77333333333333,3,N
151,OOOTO,1673015432011151616,70.64272727272727,11,N
152,OOOTO,1673015433011151616,70.478,5,N
153,OOOTO,1673015434011151616,70.942,5,N
154,OOOTO,1673015435011151616,70.93666666666667,3,N
155,OOOTO,1673015436011151616,70.93666666666667,0,N
156,OOOTO,1673015437011151616,70.9409090909091,11,N
157,OOOTO,1673015438011151616,70.5,2,N
158,OOOTO,1673015439011151616,70.50142857142858,7,N
159,OOOTO,1673015440011151616,70.653,20,N
160,OOOTO,1673015441011151616,70.653,0,N
161,OOOTO,1673015442011151616,70.653,0,N
162,OOOTO,1673015443011151616,70.65100000000001,20,N
163,OOOTO,1673015444011151616,70.87999999999998,13,N
164,OOOTO,1673015445011151616,70.91000000000001,3,N
165,OOOTO,1673015446011151616,70.915,2,N
166,OOOTO,1673015447011151616,70.915,0,N
167,OOOTO,1673015448011151616,70.915,0,N
168,OOOTO,1673015449011151616,70.915,0,N
169,OOOTO,1673015450011151616,70.915,0,N
170,OOOTO,1673015451011151616,70.44,1,N
171,OOOTO,1673015452011151616,70.45199999999998,5,N
172,OOOTO,1673015453011151616,70.45199999999998,0,N
173,OOOTO,1673015454011151616,70.49,1,N
174,OOOTO,1673015455011151616,70.62666666666667,3,N
175,OOOTO,1673015456011151616,70.915,6,N
176,OOOTO,1673015457011151616,70.91000000000001,3,N
177,OOOTO,1673015458011151616,70.586,5,N
178,OOOTO,1673015459011151616,70.50333333333333,3,N
179,OOOTO,1673015460011151616,70.49888888888889,9,N
180,OOOTO,1673015461011151616,70.5,2,N
181,OOOTO,1673015462011151616,70.63666666666667,9,N
182,OOOTO,1673015463011151616,70.51,1,N
183,OOOTO,1673015464011151616,70.51,0,N
184,OOOTO,1673015465011151616,70.51,0,N
185,OOOTO,1673015466011151616,70.693,10,N
186,OOOTO,1673015467011151616,70.693,0,N
187,OOOTO,1673015468011151616,70.693,0,N
188,OOOTO,1673015469011151616,70.693,0,N
189,OOOTO,1673015470011151616,70.5,2,N
190,OOOTO,1673015471011151616,70.5,4,N
191,OOOTO,1673015472011151616,70.865,8,N
192,OOOTO,1673015473011151616,70.862,5,N
193,OOOTO,1673015474011151616,70.862,0,N
194,OOOTO,1673015475011151616,70.862,0,N
195,OOOTO,1673015476011151616,70.862,0,N
196,OOOTO,1673015477011151616,70.862,0,N
197,OOOTO,1673015478011151616,70.862,0,N
198,OOOTO,1673015479011151616,70.862,0,N
199,OOOTO,1673015480011151616,70.862,0,N
200,OOOTO,1673015481011151616,70.83857142857143,7,N
201,OOOTO,1673015482011151616,70.71833333333333,6,N
202,OOOTO,1673015483011151616,70.47285714285714,7,N
203,OOOTO,1673015484011151616,70.47285714285714,0,N
204,OOOTO,1673015485011151616,70.57249999999999,4,N
205,OOOTO,1673015486011151616,70.84,12,N
206,OOOTO,1673015487011151616,70.84,4,N
207,OOOTO,1673015488011151616,70.84,0,N
208,OOOTO,1673015489011151616,70.84,0,N
209,OOOTO,1673015490011151616,70.5,2,N
210,OOOTO,1673015491011151616,70.50142857142858,7,N
211,OOOTO,1673015492011151616,70.49857142857142,7,N
212,OOOTO,1673015493011151616,70.695,2,N
213,OOOTO,1673015494011151616,70.695,0,N
214,OOOTO,1673015495011151616,70.525,2,N
215,OOOTO,1673015496011151616,70.805,4,N
216,OOOTO,1673015497011151616,70.89,14,N
217,OOOTO,1673015498011151616,70.89,0,N
218,OOOTO,1673015499011151616,70.56,1,N
219,OOOTO,1673015500011151616,70.55000000000001,8,N
220,OOOTO,1673015501011151616,70.55,10,N
221,OOOTO,1673015502011151616,70.55000000000001,4,N
222,OOOTO,1673015503011151616,70.54,1,N
223,OOOTO,1673015504011151616,70.88909090909091,11,N
224,OOOTO,1673015505011151616,70.51,1,N
225,OOOTO,1673015506011151616,70.862,5,N
226,OOOTO,1673015507011151616,70.862,0,N
227,OOOTO,1673015508011151616,70.862,0,N
228,OOOTO,1673015509011151616,70.862,0,N
229,OOOTO,1673015510011151616,70.862,0,N
230,OOOTO,1673015511011151616,70.862,0,N
231,OOOTO,1673015512011151616,70.862,0,N
232,OOOTO,1673015513011151616,70.862,0,N
233,OOOTO,1673015514011151616,70.862,0,N
234,OOOTO,1673015515011151616,70.862,0,N
235,OOOTO,1673015516011151616,70.865,2,F
236,OOOTO,1673015517011151616,70.865,0,N
237,OOOTO,1673015518011151616,70.865,0,N
238,OOOTO,1673015519011151616,70.865,0,N
